landkreis,kreisnummer,InstalledPower
Ahrweiler,7131000,78477.30900000012
Aichach-Friedberg,9771000,321694.9120000003
Alb-Donau-Kreis,8425000,466821.7439999999
Altenburger Land,16077000,160996.48099999997
Altenkirchen (Westerwald),7132000,84373.016
Altmarkkreis Salzwedel,15081000,319846.4189999998
Altötting,9171000,297682.743
Alzey-Worms,7331000,133940.1709999999
Amberg,9361000,59576.986999999994
Amberg-Sulzbach,9371000,337697.35500000045
Ammerland,3451000,114199.59799999991
Anhalt-Bitterfeld,15082000,509885.4130000004
Ansbach,9561000,58317.45399999997
Ansbach,9571000,734674.3149999974
Aschaffenburg,9661000,24449.22600000003
Aschaffenburg,9671000,122897.68599999978
Augsburg,9761000,71048.95499999997
Augsburg,9772000,447180.9030000011
Aurich,3452000,152739.21299999976
Bad Dürkheim,7332000,105730.41899999997
Bad Kissingen,9672000,227210.7739999998
Bad Kreuznach,7133000,159394.22699999984
Bad Tölz-Wolfratshausen,9173000,88081.85199999998
Baden-Baden,8211000,33931.95400000001
Bamberg,9461000,23785.63999999999
Bamberg,9471000,228539.86300000036
Barnim,12060000,498920.47200000065
Bautzen,14625000,431219.8480000008
Bayreuth,9462000,42335.363
Bayreuth,9472000,202218.692
Berchtesgadener Land,9172000,88851.26100000004
Bergstraße,6431000,179043.85100000014
Berlin,11000000,249840.09500000154
Bernkastel-Wittlich,7231000,219433.7070000001
Biberach,8426000,427882.39200000017
Bielefeld,5711000,96741.36799999993
Birkenfeld,7134000,56590.31299999998
Böblingen,8115000,206005.51100000035
Bochum,5911000,55715.086999999985
Bodenseekreis,8435000,196339.37899999964
Bonn,5314000,41855.01499999994
Börde,15083000,348739.814000001
Borken,5554000,707737.600999998
Bottrop,5512000,45158.663000000015
Brandenburg an der Havel,12051000,109857.90900000001
Braunschweig,3101000,54692.71599999995
Breisgau-Hochschwarzwald,8315000,224759.805
Bremen,4011000,75416.26699999992
Bremerhaven,4012000,15480.253999999994
Burgenlandkreis,15084000,278808.73400000035
Calw,8235000,133510.82299999997
Celle,3351000,107056.32599999977
Cham,9372000,283168.5800000002
Chemnitz,14511000,87536.74899999994
Cloppenburg,3453000,379491.17700000136
Coburg,9463000,38214.814
Coburg,9473000,208239.90100000007
Cochem-Zell,7135000,120317.31
Coesfeld,5558000,328077.8400000002
Cottbus,12052000,131851.44799999997
Cuxhaven,3352000,165074.44899999988
Dachau,9174000,214914.4179999999
Dahme-Spreewald,12061000,338854.1120000006
Darmstadt,6411000,24682.727000000097
Darmstadt-Dieburg,6432000,154037.77799999926
Deggendorf,9271000,447355.93500000075
Delmenhorst,3401000,20611.213000000018
Dessau-Roßlau,15001000,77458.12399999992
Diepholz,3251000,309531.44600000145
Dillingen a.d. Donau,9773000,260292.40899999975
Dingolfing-Landau,9279000,472156.5850000003
Dithmarschen,1051000,371981.76800000074
Donau-Ries,9779000,381114.3839999996
Donnersbergkreis,7333000,89433.46499999994
Dortmund,5913000,98707.19599999982
Dresden,14612000,64290.38199999994
Duisburg,5112000,61096.13199999994
Düren,5358000,210670.43000000055
Düsseldorf,5111000,57966.21200000008
Ebersberg,9175000,134627.545
Eichsfeld,16061000,132487.75799999994
Eichstätt,9176000,321215.86500000034
Eifelkreis Bitburg-Prüm,7232000,365529.11100000003
Eisenach,16056000,26638.825999999994
Elbe-Elster,12062000,460662.5129999998
Emden,3402000,20928.167000000005
Emmendingen,8316000,172364.60899999997
Emsland,3454000,727912.9720000012
Ennepe-Ruhr-Kreis,5954000,76423.79399999989
Enzkreis,8236000,169383.678
Erding,9177000,196694.98800000007
Erfurt,16051000,81941.35999999993
Erlangen,9562000,40242.193000000036
Erlangen-Höchstadt,9572000,142887.3159999999
Erzgebirgskreis,14521000,197425.72199999992
Essen,5113000,67503.2929999998
Esslingen,8116000,220140.74100000033
Euskirchen,5366000,199682.7929999997
Flensburg,1001000,24041.65
Forchheim,9474000,176926.31599999973
Frankenthal (Pfalz),7311000,23025.03
Frankfurt (Oder),12053000,37265.022
Frankfurt am Main,6412000,61002.71099999991
Freiburg im Breisgau,8311000,70399.26599999995
Freising,9178000,285202.78200000036
Freudenstadt,8237000,136842.06999999998
Freyung-Grafenau,9272000,169052.0560000001
Friesland,3455000,85746.74999999988
Fulda,6631000,258261.64199999959
Fürstenfeldbruck,9179000,165275.7859999998
Fürth,9563000,38128.289000000004
Fürth,9573000,135311.635
Garmisch-Partenkirchen,9180000,49494.27599999997
Gelsenkirchen,5513000,39615.26299999999
Gera,16052000,41989.521
Germersheim,7334000,102477.7820000001
Gießen,6531000,152526.83099999963
Gifhorn,3151000,116466.41299999993
Göppingen,8117000,172497.3340000001
Görlitz,14626000,297208.55600000115
