landkreis,total_capacity,gemeindeschluessel
Ahrweiler,78340.88600000001,7131
Aichach-Friedberg,321692.531,9771
Alb-Donau-Kreis,473956.1049999999,8425
Altenburger Land,161169.349,16077
Altenkirchen (Westerwald),84936.241,7132
Altmarkkreis Salzwedel,319813.99299999996,15081
Altötting,296701.277,9171
Alzey-Worms,133948.247,7331
Amberg,59541.846999999994,9361
Amberg-Sulzbach,337155.82200000004,9371
Ammerland,113394.853,3451
Anhalt-Bitterfeld,509014.80900000007,15082
Ansbach,792672.204,9561
Aschaffenburg,146058.774,9661
Augsburg,516423.1279999999,9761
Aurich,151364.948,3452
Bad Dürkheim,105067.29400000001,7332
Bad Kissingen,226504.239,9672
Bad Kreuznach,159254.35499999998,7133
Bad Tölz-Wolfratshausen,87882.331,9173
Baden-Baden,33320.683000000005,8211
Bamberg,252159.023,9461
Barnim,497377.48800000007,12060
Bautzen,431097.00700000004,14625
Bayreuth,242915.719,9462
Berchtesgadener Land,88749.612,9172
Bergstraße,169811.502,6431
Berlin,249113.47100000165,11000
Bernkastel-Wittlich,219359.635,7231
Biberach,427875.975,8426
Bielefeld,96626.52699999991,5711
Birkenfeld,56583.703,7134
Bochum,53622.16799999999,5911
Bodenseekreis,196281.711,8435
Bonn,40618.158999999985,5314
Borken,707274.549,5554
Bottrop,43669.76000000001,5512
Brandenburg an der Havel,109860.19799999999,12051
Braunschweig,54632.347000000045,3101
Breisgau-Hochschwarzwald,224475.67299999998,8315
Bremen,73140.05799999986,4011
Bremerhaven,14812.856,4012
Burgenlandkreis,280461.067,15084
Böblingen,205107.379,8115
Börde,348244.813,15083
Calw,133812.728,8235
Celle,106438.246,3351
Cham,282238.645,9372
Chemnitz,88345.86399999993,14511
Cloppenburg,379299.2899999999,3453
Coburg,247064.428,9463
Cochem-Zell,119467.02,7135
Coesfeld,327946.796,5558
Cottbus,132049.39799999993,12052
Cuxhaven,162402.307,3352
Dachau,214614.75,9174
Dahme-Spreewald,339018.46200000006,12061
Darmstadt,24244.9580000001,6411
Darmstadt-Dieburg,140556.696,6432
Deggendorf,439255.339,9271
Delmenhorst,17767.383000000005,3401
Dessau-Roßlau,77403.90899999996,15001
Diepholz,309606.17000000004,3251
Dillingen a.d. Donau,260095.53999999998,9773
Dingolfing-Landau,472036.0289999999,9279
Dithmarschen,371138.621,1051
Donau-Ries,380983.678,9779
Donnersbergkreis,89435.307,7333
Dortmund,98342.08399999981,5913
Dresden,63651.322,14612
Duisburg,59535.38499999998,5112
Düren,209603.58899999998,5358
Düsseldorf,56835.436999999976,5111
Ebersberg,134409.318,9175
Eichsfeld,131276.607,16061
Eichstätt,322668.79099999997,9176
Eifelkreis Bitburg-Prüm,365181.725,7232
Eisenach,26642.740999999998,16056
Elbe-Elster,462051.691,12062
Emden,21824.02800000002,3402
Emmendingen,172492.01499999998,8316
Emsland,727669.9079999999,3454
Ennepe-Ruhr-Kreis,76293.529,5954
Enzkreis,169232.80399999997,8236
Erding,196409.677,9177
Erfurt,81211.33199999995,16051
Erlangen,40191.46300000005,9562
Erlangen-Höchstadt,142847.97,9572
Erzgebirgskreis,195941.959,14521
Essen,65470.417999999845,5113
Esslingen,218492.21200000003,8116
Euskirchen,198451.54400000002,5366
Flensburg,23992.389999999996,1001
Forchheim,176951.605,9474
Frankenthal (Pfalz),23014.09000000001,7311
